Address:,"% of the total number of Issued Shares/ Warrants/ Units:","Name of CCASS Participant (* for Consenting Investor Participants ):",Shareholding:,"Participant ID:"
"32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG","9.54%","CHINA INDUSTRIAL SECURITIES","223,780,719",B01938
"12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","7.48%","CCB INTERNATIONAL SECURITIES LTD","175,560,571",B01813
"RM 2901 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","6.82%","TAIPING SECURITIES (HK) CO LTD","160,016,467",B01217
"HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON","5.74%","THE HONGKONG AND SHANGHAI BANKING","134,601,828",C00019
"41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG","4.08%","KGI ASIA LTD","95,778,887",B01610
"46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON","4.05%","MORGAN STANLEY HONG KONG SECURITIES LTD","95,019,000",B01274
"6/F HARCOURT HOUSE 39 GLOUCESTER ROAD HONG KONG","3.50%","UOB KAY HIAN (HONG KONG) LTD","82,181,070",B01353
"UNITS 2201-2207 & 2213-2214 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","3.12%","LUK FOOK SECURITIES (HK) LTD","73,286,305",B01556
"22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","2.90%","BOCI SECURITIES LTD","68,094,284",B01130
"16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON","2.62%","HANG SENG SECURITIES LTD","61,657,233",B01284
"42/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG","2.55%","SUN HUNG KAI INVESTMENT SERVICES LTD","59,969,607",B01086
"19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG","1.46%","FIRST SHANGHAI SECURITIES LTD","34,433,470",B01686
"42/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","1.35%","UBS SECURITIES HONG KONG LTD","31,836,564",B01161
"RM 2502 25/F NAM WO BUILDING 148 WING LOK STREET SHEUNG WAN HONG KONG","1.35%","GLOBAL MASTERMIND SECURITIES LTD","31,749,000",B02087
"9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON","0.87%","CITIBANK N.A.","20,606,520",C00010
"SUITES 3201-3204 ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG","0.87%","YUNFENG SECURITIES LTD","20,410,942",B01967
"LEVEL 17 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG","0.82%","SOOCHOW SECURITIES INTERNATIONAL","19,245,941",B01939
"SECURITIES SERVICES 15/F STANDARD CHARTERED TOWER 388 KWUN TONG ROAD KWUN TONG KOWLOON","0.78%","STANDARD CHARTERED BANK (HONG KONG) LTD","18,424,491",C00039
"11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON","0.76%","BANK OF CHINA (HONG KONG) LTD","17,970,952",C00033
"15/F BANK OF COMMUNICATIONS TOWER 231-235 GLOUCESTER ROAD WANCHAI HONG KONG","0.51%","BANK OF COMMUNICATIONS TRUSTEE LTD","12,192,698",C00002
"72/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.45%","KINGSTON SECURITIES LTD","10,618,706",B01438
"1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG","0.44%","OCBC WING HANG SHARES BROKERAGE CO. LTD","10,421,469",B01265
"10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG","0.41%","GET NICE SECURITIES LTD","9,784,374",B01298
"7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON","0.33%","DBS BANK (HONG KONG) LTD","7,878,606",C00015
"LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG","0.33%","HSBC BROKING SECURITIES (HONG KONG) LTD","7,762,145",B01089
"48/F ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG","0.30%","CHINA MERCHANTS SECURITIES (HK) CO LTD","7,249,325",B01148
"SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.27%","INTERACTIVE BROKERS HONG KONG LTD","6,343,000",B01590
"26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG","0.24%","CITIC SECURITIES BROKERAGE (HK) LTD","5,794,698",B01228
